Unnamed: 0,youtube_id,comment,like_num
8,Milktea,"Intente llegar temprano pero pues a esa hora yo estaba dormida :v 
Te amoo",19개
9,soberry,"언니 진짜 너무 예쁘고 진짜 메컵도 찰떡이고 새로운영상 너무 고마워요 ✨🤍 머리 땋은거 이렇게 세상 찰떡일수없잖아 울언니 최고야 언니를 알게되서 너무 행복해요 진짜 ✨🤍
언니 이날 사진 있는거 다알아요 다 풀어줄거라 믿어요 ...!!! 진짜",25개
10,SarahMansor,pls i need detail of the lensss goes so well with the look <3,4개
11,ModestFeraLa,"Hi as always so pretty.
If i had this beauty i would never ever wear makeup, not even in mu wedding day 😂",16개
12,뮤화dailylook,"희쥬님 피부 진짜,,🥺💛 기초케어도 궁금해요오",10개
13,tjkim,왜 뭔가 오랜만인거같지ㅠㅠ...?,17개
14,,언니...ㅠㅠ귀걸이 정보 좀 부탁드려요..💗😭,5개
15,송유진,"진짜 너무 이뻐서 홀리듯이 들어오고 홀리듯이 보고 다 끝나버렸네 ,,,",8개
16,SarahS,"damn those lips, you're gorgeous young lady!",6개
17,혜원처럼Hyewon,나 진짜 요즘 이언니때문에 현생이 힘들어ㅜㅜㅜㅜ언니ㅜㅜㅜ사랑해여ㅜㅜㅜ,5개
18,MariaAlejandraTrillos,Que hermosa eres 🥺 la verdad me gustaría seguirlo pero sé que tal vez me quede horrible xd,15개
19,스마sma,진짜 에스쁘아 열일한다..아니 색깔 왜이렇게 예뻐ㅠㅠ다 갖고싶게..톤생각안할래ㅠ,4개
20,정세미,이 언니 눈썹 진짜 잘그린다...,6개
21,김소윤,4:41 열으시면서 깜짝 놀라시는게 너무 귀여우신 🤭🍑💖,4개
22,전지은,진짜 공주님... 너무 예뻐요... 영상도 예쁘고... 희주님은 다 예뻐요...마음도..🤍,6개
23,hindkiko,"나는 이라크 출신이며, 당신을 사랑하고 비디오를 보는 것을 좋아합니다. 당신은 아름답습니다. ❤💋",4개
24,YeEun,그냥 사랑스러움 그 자체ㅜ😭💖,10개
25,Sweetlyxii,Yoo is my favorite youtuber when it comes to makeup and fashion!!!!!🤩😍🦋,2개
26,울이,희주님 피부가 진짜 좋으셔요! 베이스 이미 하신 줄 알았어용 비결이 뭔가요!,3개
27,김헤이,진짜.. 공주 그 자체.. 울 언니 하고 싶은 거 다 해...,2개
28,KanyaN,Omgg you reminded me so much of sulli😭 it's a cute makeup though ❤,0개
29,Kelly,i watch these makeup vids like I know how to put on makeup lol she's too pretty ;;,2개
30,남주혁NARAE,언니 진짜 이거 썸네일 보자마자 소리지를뻔햇자나요 ㅠㅠㅠㅠㅠ 내 요정님 .. 옆으로 땋은 머리 너무잘어울리고 이메콥 진짜 찰떡이야 ㅠㅠㅠㅠ엉엉 넘무예뻐 넘보고싶어요 히주언니ㅜㅜ🍑🖤🖤,6개
31,ttumni,렌즈정보 공유해주세여ㅠㅠㅠ,2개
32,이현주,이거쥐~!!~~!!~!~!~!~!~!!~!~ㅜㅜ아옷 ㅜㅜ,2개
33,하이스코어,와 갑자기 생얼나올때 화장한거나 비슷해서 완전 놀랫다ㅜㅠㅠ넘예뻐ㅠㅠㅜ,2개
34,비숑,와 이 영상 박제해요 역대급이에요 언니 ㅠㅠ 찰떡 메이크업 ✨💖,5개
35,롸,진짜ㅠㅠㅜㅜㅜㅜ핵존예다 미쳐따 존예다........,1개
36,0220,희주 최고야 너무 예뻐ㅠㅠㅠ,0개
37,민경서,언니 진짜 너무 예뻐요 ㅠㅠㅠㅠㅠ 렌즈 어떤건가용????!!,0개
38,양지원,1주 1영상 고마워유❤️브이로그는 이시국 끝나고라도 올려줘요 브이로그 기다리고 있었는데!😭,3개
39,히히,"넘 예뻐요.... ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 너무 너무 예뻐 진짜 예쁘단 말밖에 안 나와 
에스쁘아 룩북 허니 멜로우도 이용해서 봄봄 개나리스러운 화장 해주세요💛💛!!",1개
40,FlorenceTham,Every look you do is so pretty <3 Love all your videos! What camera are you using? :),1개
